"","year","month","day","Temp","Sal","DO_mgl","pH","Turb"
"154",2007,6,3,22.5270833333333,NA,NA,8.08229166666667,28.3473684210526
"155",2007,6,4,22.715625,NA,NA,8.059375,7.65625
"156",2007,6,5,22.665625,NA,NA,8.021875,5.33333333333333
"157",2007,6,6,23.29375,19.6733333333333,8.21333333333333,8.003125,7.66666666666667
"158",2007,6,7,24.0385416666667,19.6989583333333,7.76666666666667,8.03020833333333,11.0212765957447
"159",2007,6,8,25.1135416666667,19.6072916666667,7.86458333333333,8.01145833333333,6.14583333333333
"160",2007,6,9,25.85,19.4260416666667,7.50416666666667,7.996875,9.86458333333333
"161",2007,6,10,24.846875,19.1291666666667,7.41458333333333,8.00520833333333,11.6421052631579
"162",2007,6,11,24.275,18.9270833333333,7.81979166666667,8.0875,5.9375
"163",2007,6,12,25.3635416666667,19.0020833333333,7.50729166666667,8.046875,8.6
"164",2007,6,13,24.7854166666667,18.9823529411765,6.47058823529412,8.08229166666667,17.2947368421053
"165",2007,6,14,22.6604166666667,NA,NA,8.06458333333333,32.2395833333333
"166",2007,6,15,21.7958333333333,NA,NA,8.02083333333333,8.875
"167",2007,6,16,23.1875,NA,NA,8.084375,5.98958333333333
"168",2007,6,17,24.8489583333333,NA,NA,8.14270833333333,4.63541666666667
"169",2007,6,18,25.7989583333333,NA,NA,8.12708333333333,4.44791666666667
"170",2007,6,19,26.7208333333333,NA,NA,8.1,6.63541666666667
"171",2007,6,20,25.3708333333333,NA,NA,8.04270833333333,4.3125
"172",2007,6,21,25.1166666666667,NA,NA,8.13333333333333,3.0625
"173",2007,6,22,24.8729166666667,NA,NA,8.24375,2.59375
"174",2007,6,23,24.4770833333333,NA,NA,8.18854166666667,11.8020833333333
"175",2007,6,24,25.2145833333333,NA,NA,8.240625,9.19791666666667
"176",2007,6,25,25.5,NA,NA,8.20416666666667,8.8494623655914
"177",2007,6,26,26.971875,NA,NA,8.175,7.04166666666667
"178",2007,6,27,27.0364583333333,NA,NA,8.13541666666667,8.20833333333333
"179",2007,6,28,26.725,NA,NA,8.02083333333333,9.17708333333333
"180",2007,6,29,26.875,NA,NA,7.97708333333333,5.11458333333333
"181",2007,6,30,27.2864583333333,NA,NA,7.99166666666667,6.13829787234043
"182",2007,7,1,26.2791666666667,NA,NA,7.96666666666667,21.3958333333333
"183",2007,7,2,25.3072916666667,NA,NA,8.03645833333333,14.0322580645161
"184",2007,7,3,25.325,NA,NA,8.08645833333333,14.1578947368421
"185",2007,7,4,24.959375,NA,NA,8.05,8.94791666666667
"186",2007,7,5,24.9114583333333,NA,NA,8.04895833333333,5.87368421052632
"187",2007,7,6,25.9427083333333,21.5763636363636,8.12363636363636,8.02604166666667,3.73958333333333
"188",2007,7,7,27.5552083333333,21.340625,7.478125,8.04583333333333,3.79166666666667
"189",2007,7,8,28.0166666666667,21.3552083333333,7.54895833333333,8.05208333333333,4.6875
"190",2007,7,9,28.50625,21.3208333333333,7.34791666666667,8.04791666666667,4.97894736842105
"191",2007,7,10,29.109375,21.415625,6.43541666666667,7.97916666666667,6.5625
"192",2007,7,11,28.3666666666667,21.5479166666667,6.71875,8.02291666666667,4.28125
"193",2007,7,12,27.8083333333333,21.5989583333333,6.96666666666667,8.03333333333333,3.82291666666667
"194",2007,7,13,27.128125,21.5875,6.88958333333333,8.03958333333333,2.5
"195",2007,7,14,27.2197916666667,21.5458333333333,7.09791666666667,8.04583333333333,4.6875
"196",2007,7,15,27.6291666666667,21.4552083333333,7.44479166666667,8.08020833333333,5.11458333333333
"197",2007,7,16,27.553125,21.4364583333333,7.07395833333333,8.05625,4.52083333333333
"198",2007,7,17,27.9239583333333,21.4989583333333,6.54791666666667,8.003125,4.26041666666667
"199",2007,7,18,27.9208333333333,21.940625,6.875,8.03333333333333,3.07291666666667
"200",2007,7,19,27.7239583333333,22.2708333333333,6.62708333333333,7.99583333333333,3.625
